id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_type,pass_body_part,possession_team_id,team_id,player_id,pass_recipient_id,under_pressure,pass_outcome,pass_cross,pass_cut_back,off_camera,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,pass_backheel,pass_goal_assist,pass_switch,counterpress,pass_deflected,pass_miscommunication,player_x,player_y,pass_end_x,pass_end_y
89bf56ec-7228-430b-b026-c14a0d70b46c,70,1,00:02:19.602,2,19,Pass,7,Atlético Madrid,From Throw In,Atlético Madrid,Fernando José Torres Sanz,Right Center Forward,"[87.0, 78.0]",1.2412,['1ce26ed7-0f41-40c0-8570-ec68ae19315c'],18243,,13.601471,-0.94200003,High Pass,"[95.0, 67.0]",,Head,212,212,6382,,,0,,,,,,,,,,,,,87.0,78.0,95.0,67.0
1ce26ed7-0f41-40c0-8570-ec68ae19315c,71,1,00:02:20.843,2,20,Pass,7,Atlético Madrid,From Throw In,Real Madrid,Kléper Laveran Lima Ferreira,Right Center Back,"[26.0, 14.0]",2.046653,['89bf56ec-7228-430b-b026-c14a0d70b46c'],18243,,13.601471,-1.2722974,High Pass,"[30.0, 1.0]",Recovery,Head,212,220,20016,,,0,,,,,,,,,,,,,26.0,14.0,30.0,1.0
85ab872a-1045-49df-87a0-a2da501950da,72,1,00:02:30.667,2,30,Pass,8,Atlético Madrid,From Throw In,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[94.0, 80.0]",0.52033,['042e46c7-5b06-45eb-8cd0-14c14866d1e5'],18243,Gabriel Fernández Arenas,5.656854,-2.3561945,Low Pass,"[90.0, 76.0]",Throw-in,,212,212,6375,6384.0,,1,,,True,,,,,,,,,,94.0,80.0,90.0,76.0
9a925272-a9f4-47ef-9d88-75491e45ff28,74,1,00:02:31.284,2,31,Pass,8,Atlético Madrid,From Throw In,Atlético Madrid,Gabriel Fernández Arenas,Right Defensive Midfield,"[90.0, 76.0]",1.0736,['66436326-68f9-4a23-a3a9-81c20e01082e'],18243,Juan Francisco Torres Belén,10.770329,0.38050637,Ground Pass,"[100.0, 80.0]",,Right Foot,212,212,6384,6375.0,,1,,,,,,,,,,,,,90.0,76.0,100.0,80.0
f873830a-4567-4f32-969e-0c95f75a5e37,80,1,00:02:44.606,2,44,Pass,9,Atlético Madrid,From Throw In,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[111.0, 80.0]",1.0244,['243e065b-a81b-4d92-862c-adc57933b28c'],18243,Saúl Ñíguez Esclapez,9.433981,-0.5585993,Low Pass,"[119.0, 75.0]",Throw-in,,212,212,6375,6381.0,,1,,,,,,,,,,,,,111.0,80.0,119.0,75.0
5ca7f436-fdf9-4996-a7cd-ed438681833a,84,1,00:02:48.343,2,48,Pass,9,Atlético Madrid,From Throw In,Atlético Madrid,Saúl Ñíguez Esclapez,Right Midfield,"[120.0, 74.0]",0.539613,,18243,,18.0,-1.5707964,High Pass,"[120.0, 56.0]",,Right Foot,212,212,6381,,,0,,,,,,,,,,,,,120.0,74.0,120.0,56.0
118460ea-759e-4ab5-b9d1-eb7c20d7d5c0,85,1,00:02:56.608,2,56,Pass,10,Real Madrid,From Goal Kick,Real Madrid,Keylor Navas Gamboa,Goalkeeper,"[6.0, 40.0]",1.730506,['48b0458e-3a56-4bf4-8b1f-500e498e8842'],18243,Sergio Ramos García,27.45906,-1.3876855,Ground Pass,"[11.0, 13.0]",Goal Kick,Right Foot,220,220,5597,5201.0,,1,,,,,,,,,,,,,6.0,40.0,11.0,13.0
d79997c6-f58b-4ab0-baf9-4daf8994a5fc,88,1,00:02:59.717,2,59,Pass,10,Real Madrid,From Goal Kick,Real Madrid,Sergio Ramos García,Left Center Back,"[11.0, 12.0]",0.869378,['3992f524-d6fe-46bc-aec7-be9c4a183bea'],18243,Marcelo Vieira da Silva Júnior,19.416489,-0.60228735,Ground Pass,"[27.0, 1.0]",,Right Foot,220,220,5201,5552.0,,1,,,,,,,,,,,,,11.0,12.0,27.0,1.0
d1355192-7cc8-46ec-bccb-ce5de8ac418f,92,1,00:03:04.409,3,4,Pass,10,Real Madrid,From Goal Kick,Real Madrid,Marcelo Vieira da Silva Júnior,Left Back,"[17.0, 5.0]",1.715,['b997080c-c7b9-4bfd-bb30-f4e02ab86d27'],18243,Kléper Laveran Lima Ferreira,21.587032,1.8045396,Ground Pass,"[12.0, 26.0]",,Right Foot,220,220,5552,20016.0,,1,,,,,,,,,,,,,17.0,5.0,12.0,26.0
16c8103b-db12-44f8-adf1-5faf61275834,95,1,00:03:06.124,3,6,Pass,10,Real Madrid,From Goal Kick,Real Madrid,Kléper Laveran Lima Ferreira,Right Center Back,"[12.0, 26.0]",2.0027,"['5c40dcda-f988-4856-8494-3918eeb83006', '86b3018a-c8fa-42c3-8fd5-2b7a3f306aa7']",18243,Cristiano Ronaldo dos Santos Aveiro,42.43819,-0.60107374,High Pass,"[47.0, 2.0]",,Left Foot,220,220,20016,5207.0,,0,,,,,,,,,,,,,12.0,26.0,47.0,2.0
86b3018a-c8fa-42c3-8fd5-2b7a3f306aa7,98,1,00:03:08.127,3,8,Pass,10,Real Madrid,From Goal Kick,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[74.0, 79.0]",1.037752,"['16c8103b-db12-44f8-adf1-5faf61275834', '3989e3c7-bd22-4a54-951f-6628b454ef95']",18243,,15.033297,3.0750246,Low Pass,"[59.0, 80.0]",Recovery,,220,212,6375,,True,0,,,,True,,,,,,,,,74.0,79.0,59.0,80.0
3d75e7f3-8558-4d3e-88f4-031fc2635264,99,1,00:03:26.835,3,26,Pass,11,Real Madrid,From Throw In,Real Madrid,Marcelo Vieira da Silva Júnior,Left Back,"[57.0, 1.0]",1.777362,['5d2bdd18-241d-43aa-85eb-bda8a6f85c4e'],18243,Luka Modrić,18.0,1.5707964,Low Pass,"[57.0, 19.0]",Throw-in,,220,220,5552,5463.0,,1,,,True,,,,,,,,,,57.0,1.0,57.0,19.0
b72a3fc8-1449-44e1-b6ed-9525295db7cb,101,1,00:03:28.640,3,28,Pass,11,Real Madrid,From Throw In,Real Madrid,Luka Modrić,Right Center Midfield,"[57.0, 19.0]",1.3782,['e0617d7e-289f-4cad-ba00-2f68554a5c2c'],18243,Cristiano Ronaldo dos Santos Aveiro,15.297058,0.19739556,High Pass,"[72.0, 22.0]",,Right Foot,220,220,5463,5207.0,,1,,,,,,,,,,,,,57.0,19.0,72.0,22.0
0733484b-f78d-484f-baa2-81599bb2af7e,105,1,00:03:31.036,3,31,Pass,11,Real Madrid,From Throw In,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,"[74.0, 22.0]",0.188,"['3e8f1e62-75c5-486c-8caa-a40d683b0327', '7d9445b9-b86b-4cf0-a304-abf61f1171ac', 'e95b779e-851c-41da-ad7d-f541d8e21a44']",18243,Carlos Henrique Casimiro,5.0,2.2142975,Ground Pass,"[71.0, 26.0]",,Right Foot,220,220,5207,5539.0,True,0,,,,,,,,,,,,,74.0,22.0,71.0,26.0
2a6a5408-31e8-420c-8124-888521e576e3,113,1,00:03:53.452,3,53,Pass,13,Atlético Madrid,From Free Kick,Atlético Madrid,Stefan Savić,Right Center Back,"[53.0, 62.0]",2.5944,['8b79b694-ca51-451b-942d-3bf3f85303ec'],18243,,51.47815,0.1364026,High Pass,"[104.0, 69.0]",Free Kick,Right Foot,212,212,6376,,,0,,,,,,,,,,,,,53.0,62.0,104.0,69.0
8b79b694-ca51-451b-942d-3bf3f85303ec,114,1,00:03:56.047,3,56,Pass,13,Atlético Madrid,From Free Kick,Real Madrid,Sergio Ramos García,Left Center Back,"[17.0, 12.0]",1.349031,['2a6a5408-31e8-420c-8124-888521e576e3'],18243,,21.954498,-0.5247958,Low Pass,"[36.0, 1.0]",Recovery,Head,212,220,5201,,,0,,,,,,,,,,,,,17.0,12.0,36.0,1.0
27cefed7-b64e-447c-8f9b-c1747155990b,115,1,00:04:01.272,4,1,Pass,14,Atlético Madrid,From Throw In,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[88.0, 80.0]",0.82458,['a8d662d8-587e-44c0-84c7-689cd7869992'],18243,Gabriel Fernández Arenas,5.0,-2.4980915,Low Pass,"[84.0, 77.0]",Throw-in,,212,212,6375,6384.0,,1,,,True,,,,,,,,,,88.0,80.0,84.0,77.0
a09811bb-0ca7-4e9d-b7ec-f76bc4bb1168,117,1,00:04:02.540,4,2,Pass,14,Atlético Madrid,From Throw In,Atlético Madrid,Gabriel Fernández Arenas,Right Defensive Midfield,"[84.0, 77.0]",0.472613,['e8a4aa1f-e905-4a5c-a4a7-5728e12436ba'],18243,Juan Francisco Torres Belén,4.2426405,0.7853982,Ground Pass,"[87.0, 80.0]",,Right Foot,212,212,6384,6375.0,,1,,,,,,,,,,,,,84.0,77.0,87.0,80.0
f723a143-6348-4eef-8a75-41d1f95b5383,120,1,00:04:03.654,4,3,Pass,14,Atlético Madrid,From Throw In,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[87.0, 80.0]",0.483082,['951b0eff-394d-413e-b8d0-79cefe03af9e'],18243,Antoine Griezmann,6.0827627,-0.16514868,Ground Pass,"[93.0, 79.0]",,Right Foot,212,212,6375,5487.0,,1,,,,,,,,,,,,,87.0,80.0,93.0,79.0
